"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
7,"Artisanat d’art",artisanat-dart,,,,,
9,"Centres de formation",centres-de-formation,,,,,
10,"Éducation – Formation – E-learning",education-formation-e-learning,,,,,
13,Nettoyage,nettoyage,,,,,
14,"Services à la personne – Aide &amp; Entretien",services-a-la-personne-aide-entretien,,,,,
15,"Décoration et design",decoration-et-design,,,,,
17,"Blog et conseils",blog-et-conseils,,,,,
18,"Affiches personnalisés",affiches-personnalises,,,,,
21,"Magasin de tissus",magasin-de-tissus,,,,,
22,TOLOUSE,tolouse,,,,,
24,"Énergies renouvelables",energies-renouvelables,,,,,
26,"Techniciens photovoltaïques",techniciens-photovoltaiques,,,,,
28,"mise en relation d’aides à domicile pour personnes âgées",mise-en-relation-daides-a-domicile-pour-personnes-agees,,,,,
29,Chambéry,chambery,,,,,
31,"Entreprise de conception des bâtiments",entreprise-de-conception-des-batiments,,,,,
32,"Électricité générale installations électriques domotique",electricite-generale-installations-electriques-domotique,,,,,
34,"Articles sportifs personnalisés",articles-sportifs-personnalises,,,,,
36,"Entreprise générale de bâtiment et rénovation tous corps d’état",entreprise-generale-de-batiment-et-renovation-tous-corps-detat,,,,,
39,"centre de flottaison et relaxation sensorielle",centre-de-flottaison-et-relaxation-sensorielle,,,,,
41,"Laverie automatique blanchisserie pressing",laverie-automatique-blanchisserie-pressing,,,,,
43,"Décorateur d’intérieur",decorateur-dinterieur,,,,,
45,"Conception en architecture",conception-en-architecture,,,,,
46,Forges-les-Bains,forges-les-bains,,,,,
48,"Vente de produits CBD naturels",vente-de-produits-cbd-naturels,,,,,
49,"Centre de diagnostic",centre-de-diagnostic,,,,,
50,MONTPELLIER,montpellier,,,,,
53,"Plateforme de produits ultramarins éthiques et commerce solidaire",plateforme-de-produits-ultramarins-ethiques-et-commerce-solidaire,,,,,
55,"Rénovation générale construction travaux clés en main",renovation-generale-construction-travaux-cles-en-main,,,,,
57,Couvreur,couvreur,,,,,
58,"Diagnostic immobilier &amp; analyses techniques",diagnostic-immobilier-analyses-techniques,,,,,
61,"Service d'installation des fenêtres",service-dinstallation-des-fenetres,,,,,
62,"Service de débarras de maison",service-de-debarras-de-maison,,,,,
63,Saint-priest,saint-priest,,,,,
66,Restaurants,restaurants,,,,,
67,"Restauration – Hôtellerie – Événementiel",restauration-hotellerie-evenementiel,,,,,
68,Marseille,marseille-diagnostic-immobilier-analyses-techniques,,,,,
70,"Créations artisanales personnalisées",creations-artisanales-personnalisees,,,,,
72,"Service de réparation",service-de-reparation,,,,,
73,Peintre,peintre,,,,,
74,"Application multi-services et plateforme de mise en relation",application-multi-services-et-plateforme-de-mise-en-relation,,,,,
76,Blois,blois,,,,,
78,"Expertise en bâtiment pathologies du bâtiment litiges techniques",expertise-en-batiment-pathologies-du-batiment-litiges-techniques,,,,,
79,Architecture,architecture,,,,,
80,Lyon,lyon,,,,,
83,Pizza,pizza,,,,,
85,"Matériaux de construction",materiaux-de-construction,,,,,
86,"Consultant en stratégie digitale",consultant-en-strategie-digitale,,,,,
88,"Marketing digital &amp; communication",marketing-digital-communication,,,,,
89,"Travaux de couverture charpente maçonnerie rénovation générale",travaux-de-couverture-charpente-maconnerie-renovation-generale,,,,,
90,Paris,paris,,,,,
92,Alimentaires,alimentaires,,,,,
93,"Commerce – Vente – E-commerce",commerce-vente-e-commerce,,,,,
95,"Magasins bio",magasins-bio,,,,,
97,Serrurerie,serrurerie,,,,,
98,"LE HAVRE",le-havre,,,,,
100,"Aides à domicile",aides-a-domicile,,,,,
102,"Rénovation énergétique et solutions écologiques",renovation-energetique-et-solutions-ecologiques,,,,,
103,"Créateur de boutique en ligne (Shopify, WooCommerce, PrestaShop)",createur-de-boutique-en-ligne-shopify-woocommerce-prestashop-e-commerce-entrepreneuriat-web,,,,,
104,"E-commerce &amp; entrepreneuriat web",e-commerce-entrepreneuriat-web,,,,,
107,"Magasin de cannabis",magasin-de-cannabis,,,,,
108,"Literie haut de gamme",literie-haut-de-gamme,,,,,
110,"Matériels électriques",materiels-electriques,,,,,
112,"Vente en ligne de vin direct producteur caviste en ligne",vente-en-ligne-de-vin-direct-producteur-caviste-en-ligne,,,,,
113,"Vente de tapis berbères et objets artisanaux",vente-de-tapis-berberes-et-objets-artisanaux,,,,,
114,"Développement &amp; Technologie",developpement-technologie,,,,,
115,"Développeur mobile (iOS, Android)",developpeur-mobile-ios-android-developpement-technologie,,,,,
116,"Développeur web / full-stack",developpeur-web-full-stack-developpement-technologie,,,,,
118,Limoges,limoges,,,,,
120,"Magasin de matériel de cuisine",magasin-de-materiel-de-cuisine,,,,,
122,"caviste spiritueux",caviste-spiritueux,,,,,
124,"Agence de voyages sur-mesure",agence-de-voyages-sur-mesure,,,,,
126,"Vente de vins",vente-de-vins,,,,,
127,"Marque de vêtements et accessoires",marque-de-vetements-et-accessoires,,,,,
130,"Agence de voyages spécialisée Asie du Sud-Est &amp; circuits sur-mesure",agence-de-voyages-specialisee-asie-du-sud-est-circuits-sur-mesure,,,,,
132,"Magasin d’article de fête",magasin-darticle-de-fete,,,,,
133,"Magasin de vêtement pour homme",magasin-de-vetement-pour-homme,,,,,
134,"Édition livres",edition-livres,,,,,
137,plomberie-chauffage-energies-renouvelable,plomberie-chauffage-energies-renouvelable,,,,,
138,Carreleur,carreleur,,,,,
140,"coaching image et séances privées",coaching-image-et-seances-privees,,,,,
143,Charpentier,charpentier,,,,,
145,"Accessoires pour voitures",accessoires-pour-voitures,,,,,
146,Hem,hem,,,,,
147,"Agenda culturel",agenda-culturel,,,,,
148,"Culture – Art – Médias – Création",culture-art-medias-creation,,,,,
150,"Magasin de cigarettes électroniques",magasin-de-cigarettes-electroniques,,,,,
151,"Création lampes artisanales",creation-lampes-artisanales,,,,,
153,"Boutique de cadeaux",boutique-de-cadeaux,,,,,
155,"sites web - référencement - développement digital",sites-web-referencement-developpement-digital,,,,,
156,"La Brède",la-brede,,,,,
158,Chablis,chablis,,,,,
159,"Location de chambre",location-de-chambre,,,,,
160,"Restaurant japonais",restaurant-japonais,,,,,
162,Strasbourg,strasbourg,,,,,
164,"Installation thermique &amp; climatisation",installation-thermique-climatisation,,,,,
165,"Événements &amp; divertissement",evenements-divertissement,,,,,
168,"hébergement touristique en bord de mer",hebergement-touristique-en-bord-de-mer,,,,,
169,Saint-Florent,saint-florent,,,,,
170,"Création de plaques personnalisées",creation-de-plaques-personnalisees,,,,,
171,"Magasin pour bébés puériculture",magasin-pour-bebes-puericulture,,,,,
172,"Formateurs e-learning",formateurs-e-learning,,,,,
174,"studio créatif",studio-creatif,,,,,
175,"Dépannage &amp; installation plomberie",depannage-installation-plomberie,,,,,
177,"Vente de produit canin",vente-de-produit-canin,,,,,
178,"Centre de formation pour adulte",centre-de-formation-pour-adulte,,,,,
179,"Aménagement intérieur",amenagement-interieur,,,,,
181,"Agence de location immobilier",agence-de-location-immobilier,,,,,
183,"Cabinet d’architecture d’interieur",cabinet-darchitecture-dinterieur,,,,,
185,"Services multiservices entretien &amp; rénovation",services-multiservices-entretien-renovation,,,,,
188,"Concepteur de sites web",concepteur-de-sites-web,,,,,
190,LYON,lyon-service-de-nettoyage-et-dentretien-2,,,,,
191,"Service de nettoyage et d’entretien",service-de-nettoyage-et-dentretien,,,,,
193,"Maîtrise d'oeuvre en constuction",maitrise-doeuvre-en-constuction,,,,,
194,"Location de vacances",location-de-vacances,,,,,
195,"Entrepreneur en toiture",entrepreneur-en-toiture,,,,,
196,"Boutique d'objets à collectionner",boutique-dobjets-a-collectionner,,,,,
198,"Création de cadeaux sportifs",creation-de-cadeaux-sportifs,,,,,
199,"Inspecteur Immobilier",inspecteur-immobilier,,,,,
200,"LE PUY EN VELAY",le-puy-en-velay,,,,,
203,"Appartement de vacances",appartement-de-vacances,,,,,
204,IVRY‑SUR‑SEINE,ivry%e2%80%91sur%e2%80%91seine,,,,,
207,"plomberie dépannage",plomberie-depannage,,,,,
208,"Néons personnalisés",neons-personnalises,,,,,
210,"Plâtrerie - isolation thermique et pose de faux plafonds",platrerie-isolation-thermique-et-pose-de-faux-plafonds,,,,,
213,"Déménagements et services associés",demenagements-et-services-associes,,,,,
215,"prise de rendez-vous artisans",prise-de-rendez-vous-artisans,,,,,
216,"vente d’articles de mariage",vente-darticles-de-mariage,,,,,
218,"Création &amp; design",creation-design,,,,,
219,"Webdesigner / UI designer",webdesigner-ui-designer-creation-design,,,,,
220,Dépannage,depannage,,,,,
222,"plomberie chauffage électricité",plomberie-chauffage-electricite,,,,,
224,Plomberie,plomberie,,,,,
225,"Courtage en travaux",courtage-en-travaux,,,,,
226,EZANVILLE,ezanville,,,,,
228,"Société Domotique",societe-domotique,,,,,
230,"Maison de vacances",maison-de-vacances,,,,,
231,Courcouronnes,courcouronnes,,,,,
233,"Service de nettoyage",service-de-nettoyage,,,,,
234,"Magasin de tapis",magasin-de-tapis,,,,,
236,"Agence de location",agence-de-location,,,,,
237,SIX-FOURS-LES-PLAGES,six-fours-les-plages,,,,,
240,"Villa Poncelet",villa-poncelet,,,,,
241,"Centre de formation aux premiers secours",centre-de-formation-aux-premiers-secours,,,,,
242,LASSEUBE,lasseube,,,,,
244,"Designer Web",designer-web,,,,,
245,"Gardien de maison",gardien-de-maison,,,,,
246,VALBONNE,valbonne,,,,,
249,"Articles de mariage",articles-de-mariage,,,,,
252,"Mise en relation artisans",mise-en-relation-artisans,,,,,
254,"Magasin de meubles",magasin-de-meubles,,,,,
255,"Location et décoration événementielle",location-et-decoration-evenementielle,,,,,
257,"Service animalier",service-animalier,,,,,
259,"Conseiller en énergie",conseiller-en-energie,,,,,
261,"Restauration rapide bio",restauration-rapide-bio,,,,,
262,"Innovation pour le linge de lit",innovation-pour-le-linge-de-lit,,,,,
